IdEstrategia,IdBanco,IdServicio,TiempoFeedback,HoraInicio,HolaFin,CobroExito,CobroDevuelta
1,12,1,518400,8:00,15:30,8,8
2,12,2,86400,8:00,15:30,6,6
3,12,3,518400,8:00,15:30,1.60,1.60
4,12,4,518400,8:00,15:30,8,8
5,12,5,1800,6:00,20:15,4,4
6,72,5,1800,3:00,17:30,2.50,2.50
7,72,1,691200,3:00,17:30,2.50,2.50
8,72,2,86400,8:00,17:30,4.50,4.50
9,2,1,1800,8:00,14:59,1.75,1.75
10,2,2,86400,8:00,14:59,1.75,1.75
11,14,1,604800,6:40,16:40,2.82,2.37
12,14,2,86400,8:00,17:30,3.18,2.58
13,14,5,1800,6:40,17:40,2.82,2.37
14,14,6,604800,6:40,16:40,1.97,1.42